 , N/A , Image Name                     PID Session Name        Session#    Mem Usage
csrss.exe                      388 Services                   0      5 , 516 K
csrss.exe                      460 Console                    1      5 , 792 K
wininit.exe                    504 Services                   0      7 , 532 K
winlogon.exe                   520 Console                    1     12 , 220 K
services.exe                   588 Services                   0      9 , 548 K
lsass.exe                      600 Services                   0     15 , 992 K
svchost.exe                    700 Services                   0     23 , 668 K
fontdrvhost.exe                724 Services                   0      3 , 692 K
fontdrvhost.exe                732 Console                    1      5 , 948 K
svchost.exe                    808 Services                   0     14 , 380 K
svchost.exe                    864 Services                   0     10 , 660 K
dwm.exe                        924 Console                    1     70 , 828 K
svchost.exe                    988 Services                   0      8 , 080 K
svchost.exe                   1000 Services                   0     11 , 672 K
svchost.exe                   1008 Services                   0     13 , 076 K
svchost.exe                    408 Services                   0     10 , 056 K
svchost.exe                    384 Services                   0      5 , 848 K
svchost.exe                    464 Services                   0      8 , 336 K
svchost.exe                   1068 Services                   0     19 , 696 K
svchost.exe                   1116 Services                   0     12 , 112 K
svchost.exe                   1124 Services                   0      8 , 244 K
svchost.exe                   1136 Services                   0     14 , 020 K
svchost.exe                   1148 Services                   0      6 , 284 K
svchost.exe                   1176 Services                   0     13 , 916 K
svchost.exe                   1268 Services                   0      8 , 300 K
svchost.exe                   1304 Services                   0      7 , 636 K
svchost.exe                   1312 Services                   0      9 , 944 K
svchost.exe                   1320 Services                   0      7 , 308 K
svchost.exe                   1328 Services                   0      9 , 848 K
svchost.exe                   1356 Services                   0      6 , 500 K
svchost.exe                   1416 Services                   0      7 , 504 K
svchost.exe                   1548 Services                   0     11 , 336 K
svchost.exe                   1580 Services                   0      9 , 184 K
svchost.exe                   1644 Services                   0     10 , 100 K
svchost.exe                   1660 Services                   0      8 , 040 K
svchost.exe                   1668 Services                   0     10 , 880 K
svchost.exe                   1688 Services                   0      9 , 796 K
svchost.exe                   1732 Services                   0      7 , 928 K
svchost.exe                   1772 Services                   0     12 , 872 K
svchost.exe                   1912 Services                   0      7 , 332 K
spoolsv.exe                   1956 Services                   0     15 , 256 K
svchost.exe                   1976 Services                   0      7 , 628 K
svchost.exe                   2044 Services                   0      8 , 564 K
svchost.exe                   2056 Services                   0     17 , 052 K
svchost.exe                   2104 Services                   0      9 , 756 K
svchost.exe                   2128 Services                   0      7 , 472 K
svchost.exe                   2332 Services                   0      8 , 344 K
svchost.exe                   2340 Services                   0      7 , 628 K
svchost.exe                   2412 Services                   0     12 , 288 K
svchost.exe                   2420 Services                   0     19 , 900 K
svchost.exe                   2468 Services                   0      6 , 024 K
svchost.exe                   2484 Services                   0     12 , 616 K
svchost.exe                   2508 Services                   0      9 , 644 K
svchost.exe                   2568 Services                   0      5 , 920 K
svchost.exe                   2636 Services                   0     11 , 120 K
svchost.exe                   2888 Services                   0      8 , 792 K
svchost.exe                   3028 Services                   0     15 , 008 K
sihost.exe                     904 Console                    1     25 , 640 K
svchost.exe                    852 Console                    1     10 , 920 K
svchost.exe                   1144 Console                    1     32 , 432 K
svchost.exe                   2092 Services                   0      7 , 656 K
ctfmon.exe                    2648 Console                    1     15 , 756 K
explorer.exe                  3148 Console                    1    111 , 916 K
svchost.exe                   3284 Console                    1     18 , 380 K
StartMenuExperienceHost.e     3508 Console                    1     65 , 492 K
RuntimeBroker.exe             3576 Console                    1     21 , 464 K
SearchApp.exe                 3656 Console                    1    146 , 880 K
RuntimeBroker.exe             3760 Console                    1     29 , 460 K
dllhost.exe                   3976 Console                    1     11 , 856 K
RuntimeBroker.exe             2896 Console                    1     14 , 900 K
SecurityHealthSystray.exe     3948 Console                    1      9 , 304 K
SecurityHealthService.exe     3852 Services                   0     15 , 040 K
metsvc.exe                    4108 Console                    1      4 , 040 K
svchost.exe                   4780 Services                   0     22 , 296 K
svchost.exe                   2932 Services                   0     15 , 576 K
SgrmBroker.exe                4988 Services                   0      7 , 348 K
svchost.exe                   5036 Services                   0     11 , 496 K
svchost.exe                   3372 Services                   0     10 , 952 K
svchost.exe                   4416 Services                   0      8 , 176 K
cmd.exe                       4324 Console                    1      4 , 908 K
conhost.exe                   3608 Console                    1     14 , 160 K
python.exe                    4556 Console                    1     69 , 516 K
TextInputHost.exe             1616 Console                    1     39 , 292 K
svchost.exe                   5172 Services                   0      8 , 016 K
WMIADAP.exe                   5360 Services                   0      8 , 544 K
WmiPrvSE.exe                  5396 Services                   0     14 , 280 K
ShellExperienceHost.exe       5608 Console                    1     47 , 264 K
RuntimeBroker.exe             5928 Console                    1     18 , 516 K
ONENOTEM.EXE                  2612 Console                    1        580 K
metsvc-server.exe             1588 Console                    1      8 , 540 K
conhost.exe                   2592 Console                    1     10 , 708 K
upfc.exe                      5588 Services                   0      6 , 980 K
svchost.exe                   5684 Services                   0     10 , 304 K
svchost.exe                   4220 Services                   0     10 , 316 K
sosal.exe                     1464 Console                    1     11 , 832 K
conhost.exe                   4672 Console                    1     18 , 156 K
WmiPrvSE.exe                  1108 Services                   0     11 , 088 K
tasklist.exe                  5108 Console                    1      9 , 040 K , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        132 K
smss.exe                       252 Services                   0      1 , 184 K
csrss.exe                      340 Services                   0      4 , 440 K
csrss.exe                      412 Console                    1      4 , 540 K
wininit.exe                    428 Services                   0      6 , 444 K
winlogon.exe                   468 Console                    1     14 , 652 K
services.exe                   536 Services                   0      6 , 904 K
lsass.exe                      544 Services                   0     13 , 552 K
svchost.exe                    620 Services                   0     21 , 604 K
fontdrvhost.exe                640 Services                   0      3 , 956 K
fontdrvhost.exe                648 Console                    1      4 , 740 K
svchost.exe                    712 Services                   0      9 , 904 K
dwm.exe                        820 Console                    1     48 , 792 K
svchost.exe                    912 Services                   0     43 , 684 K
svchost.exe                    920 Services                   0     22 , 024 K
svchost.exe                   1008 Services                   0     12 , 280 K
svchost.exe                    224 Services                   0     19 , 568 K
svchost.exe                    504 Services                   0     18 , 108 K
svchost.exe                    724 Services                   0      9 , 060 K
svchost.exe                   1172 Services                   0     12 , 888 K
VSSVC.exe                     1360 Services                   0      7 , 740 K
svchost.exe                   1452 Services                   0      7 , 448 K
svchost.exe                   1524 Services                   0      6 , 224 K
svchost.exe                   1532 Services                   0      7 , 408 K
svchost.exe                   1812 Services                   0     17 , 540 K
SecurityHealthService.exe     1820 Services                   0      7 , 212 K
VmRemoteGuest.exe             1876 Services                   0      5 , 832 K
sihost.exe                    1404 Console                    1     20 , 576 K
GoogleUpdate.exe              1128 Services                   0        752 K
taskhostw.exe                 1516 Console                    1     17 , 088 K
explorer.exe                  2164 Console                    1     66 , 356 K
svchost.exe                   2236 Services                   0      7 , 156 K
ShellExperienceHost.exe       2540 Console                    1     54 , 744 K
SearchUI.exe                  2560 Console                    1     84 , 116 K
RuntimeBroker.exe             2688 Console                    1     32 , 100 K
WmiPrvSE.exe                  2748 Services                   0     11 , 696 K
backgroundTaskHost.exe        3052 Console                    1     29 , 676 K
RemindersServer.exe           1736 Console                    1     14 , 556 K
msiexec.exe                   3624 Services                   0     10 , 556 K
backgroundTaskHost.exe        3844 Console                    1     13 , 736 K
sppsvc.exe                    3972 Services                   0     17 , 088 K
SppExtComObj.Exe              3420 Services                   0      9 , 644 K
InstallAgent.exe              2860 Console                    1     11 , 036 K
cmd.exe                       2840 Console                    1      3 , 848 K
conhost.exe                   2788 Console                    1     15 , 968 K
Detonate.exe                  2160 Console                    1     23 , 444 K
Sysmon64.exe                  1268 Services                   0     19 , 396 K
unsecapp.exe                  3932 Services                   0      6 , 352 K
Sysmon64.exe                  2112 Console                    1      7 , 916 K
WmiPrvSE.exe                  4048 Services                   0      8 , 332 K
svchost.exe                   3352 Services                   0      5 , 392 K
UpdaterSetup.exe              2156 Services                   0      2 , 464 K
loder.exe                     4052 Console                    1     10 , 652 K
conhost.exe                   2972 Console                    1     16 , 060 K
updater.exe                   3752 Services                   0     10 , 712 K
updater.exe                   3484 Services                   0      7 , 960 K
tasklist.exe                  3108 Console                    1      7 , 588 K , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Registry                        72 Services                   0     20 , 632 K
smss.exe                       284 Services                   0      1 , 184 K
csrss.exe                      388 Services                   0      5 , 516 K
csrss.exe                      456 Console                    1      5 , 796 K
wininit.exe                    472 Services                   0      7 , 488 K
winlogon.exe                   516 Console                    1     12 , 188 K
services.exe                   584 Services                   0      9 , 596 K
lsass.exe                      596 Services                   0     16 , 052 K
svchost.exe                    692 Services                   0     23 , 688 K
fontdrvhost.exe                720 Console                    1      5 , 940 K
fontdrvhost.exe                728 Services                   0      3 , 680 K
svchost.exe                    792 Services                   0     14 , 408 K
svchost.exe                    856 Services                   0     10 , 620 K
dwm.exe                        908 Console                    1     71 , 144 K
svchost.exe                    992 Services                   0      8 , 132 K
svchost.exe                   1000 Services                   0     13 , 112 K
